city,province,city_area,builtup_area,reg_pop,resident_pop,gdp
垫江县,重庆,1517 ,12.00 ,97.05 ,67.67 ,239.84 
金昌市,甘肃,8900 ,42.20 ,45.69 ,47.05 ,224.52 
忠县,重庆,2187 ,6.96 ,100.46 ,70.80 ,222.40 
固 原 市,宁夏,13449 ,52.33 ,150.11 ,121.18 ,217.32 
甘孜,四川,149599 ,3.80 ,109.20 ,116.49 ,213.04 
临夏州,甘肃,8000 ,23.00 ,225.02 ,201.21 ,211.41 
黔江区,重庆,2390 ,22.00 ,55.05 ,46.20 ,202.55 
琼海市,海南,1692 ,27.10 ,50.94 ,50.25 ,200.50 
奉节县,重庆,4098 ,5.99 ,106.41 ,75.33 ,197.43 
嘉峪关市,甘肃,2900 ,69.50 ,20.25 ,24.39 ,190.04 
云阳县,重庆,3636 ,8.21 ,134.64 ,89.66 ,187.91 
南川区,重庆,2589 ,33.00 ,68.69 ,56.43 ,186.25 
文昌市,海南,2403 ,15.80 ,59.39 ,55.49 ,169.63 
万宁市,海南,1884 ,13.00 ,63.80 ,56.47 ,165.82 
丰都县,重庆,2899 ,5.82 ,82.90 ,59.56 ,150.19 
东方市,海南,2256 ,18.83 ,44.38 ,42.01 ,144.56 
临高县,海南,1317 ,9.39 ,52.06 ,44.29 ,144.52 
秀山县,重庆,2453 ,8.28 ,66.21 ,49.13 ,138.19 
武隆县,重庆,2901 ,19.96 ,41.43 ,34.67 ,131.40 
石柱县,重庆,3014 ,7.81 ,54.66 ,38.65 ,129.24 
甘南州,甘肃,40200 ,10.50 ,72.83 ,70.50 ,126.54 
陵水县,海南,1128 ,4.10 ,38.64 ,32.78 ,117.25 
酉阳县,重庆,5168 ,4.06 ,85.00 ,55.65 ,116.97 
彭水县,重庆,3897 ,2.24 ,69.81 ,50.64 ,115.97 
杨凌示范区,陕西,135 ,0.00 ,18.99 ,20.34 ,105.85 
乐东县,海南,2747 ,7.87 ,53.04 ,47.30 ,104.37 
昌江县,海南,1569 ,14.00 ,25.44 ,22.92 ,90.19 
巫山县,重庆,2955 ,3.75 ,63.83 ,46.23 ,89.66 
定安县,海南,1189 ,9.11 ,33.97 ,29.14 ,75.10 
巫溪县,重庆,4015 ,4.95 ,54.39 ,39.10 ,73.40 
屯昌县,海南,1232 ,9.66 ,30.87 ,26.36 ,58.15 
城口县,重庆,3289 ,2.08 ,25.06 ,18.63 ,42.54 
白沙县,海南,2117 ,10.30 ,19.47 ,17.10 ,39.96 
琼中县,海南,2706 ,5.00 ,22.61 ,17.72 ,39.10 
保亭县,海南,1161 ,4.70 ,17.11 ,15.02 ,38.56 
五指山市,海南,1129 ,10.00 ,10.97 ,10.56 ,22.28 
神农架,湖北,3253 ,1.27 ,7.86 ,7.68 ,20.95 
三沙市,海南,20 ,0.00 ,0.04 ,0.06 ,0.00 
